id_LFM,IndexNbr,kanji,kana,name,lat,lon,no,subpref_kanji,prec_no,groupCode,has_rj,skip
1383219,47401,稚内,ﾜｯｶﾅｲ,Wakkanai,45.415,141.6783,11016,宗谷,11,10,1,F
1354431,47402,北見枝幸,ｷﾀﾐｴｻｼ,Kitamiesashi,44.94,142.585,11291,宗谷,11,10,0,F
1319567,47404,羽幌,ﾊﾎﾞﾛ,Haboro,44.3633,141.7,13181,留萌,13,10,0,F
1332829,47405,雄武,ｵｳﾑ,Omu,44.58,142.9633,17036,網走・北見・紋別,17,14,0,F
1294343,47406,留萌,ﾙﾓｲ,Rumoi,43.945,141.6317,13277,留萌,13,10,0,F
1283564,47407,旭川,ｱｻﾋｶﾜ,Asahikawa,43.7567,142.3717,12442,上川,12,11,1,F
1299253,47409,網走,ｱﾊﾞｼﾘ,Abashiri,44.0167,144.2783,17341,網走・北見・紋別,17,14,1,F
1248681,47411,小樽,ｵﾀﾙ,Otaru,43.1817,141.015,16091,後志,16,12,0,F
1241487,47412,札幌,ｻｯﾎﾟﾛ,Sapporo,43.06,141.3283,14163,石狩,14,12,1,F
1251113,47413,岩見沢,ｲﾜﾐｻﾞﾜ,Iwamizawa,43.2117,141.785,15356,空知,15,13,0,F
1233155,47417,帯広,ｵﾋﾞﾋﾛ,Obihiro,42.9217,143.2117,20432,十勝,20,16,1,F
1236805,47418,釧路,ｸｼﾛ,Kushiro,42.985,144.3767,19432,釧路,19,15,0,F
1258471,47420,根室,ﾈﾑﾛ,Nemuro,43.33,145.585,18273,根室,18,15,0,F
1225830,47421,寿都,ｽｯﾂ,Suttsu,42.795,140.2233,16252,後志,16,12,0,F
1197036,47423,室蘭,ﾑﾛﾗﾝ,Muroran,42.3117,140.975,21323,胆振,21,17,1,F
1215074,47424,苫小牧,ﾄﾏｺﾏｲ,Tomakomai,42.6233,141.5467,21187,胆振,21,17,0,F
1187500,47426,浦河,ｳﾗｶﾜ,Urakawa,42.1617,142.7767,22327,日高,22,18,0,F
1169379,47428,江差,ｴｻｼ,Esashi,41.8667,140.1233,24217,桧山,24,19,0,F
1167002,47430,函館,ﾊｺﾀﾞﾃ,Hakodate,41.8167,140.7533,23232,渡島,23,19,1,F
1231856,47433,倶知安,ｸｯﾁｬﾝ,Kutchan,42.9,140.7567,16217,後志,16,12,0,F
1318432,47435,紋別,ﾓﾝﾍﾞﾂ,Mombetsu,44.345,143.355,17112,網走・北見・紋別,17,14,0,F
1195929,47440,広尾,ﾋﾛｵ,Hiroo,42.2933,143.3167,20751,十勝,20,16,0,F
1001303,47512,大船渡,ｵｵﾌﾅﾄ,Ofunato,39.0633,141.7133,33877,岩手,33,22,0,F
983231,47520,新庄,ｼﾝｼﾞｮｳ,Shinjo,38.7567,140.3117,35162,山形,35,24,0,F
906351,47570,若松,ﾜｶﾏﾂ,Wakamatsu,37.4883,139.91,36361,福島,36,25,0,F
1096110,47574,深浦,ﾌｶｳﾗ,Fukaura,40.645,139.9317,31436,青森,31,20,0,F
1106953,47575,青森,ｱｵﾓﾘ,Aomori,40.8217,140.7683,31312,青森,31,20,1,F
1134593,47576,むつ,ﾑﾂ,Mutsu,41.2833,141.21,31111,青森,31,20,0,F
1088968,47581,八戸,ﾊﾁﾉﾍ,Hachinohe,40.5267,141.5217,31602,青森,31,20,0,F
1040871,47582,秋田,ｱｷﾀ,Akita,39.7167,140.0983,32402,秋田,32,21,1,F
1039713,47584,盛岡,ﾓﾘｵｶ,Morioka,39.6983,141.165,33431,岩手,33,22,1,F
1036142,47585,宮古,ﾐﾔｺ,Miyako,39.6467,141.965,33472,岩手,33,22,0,F
991620,47587,酒田,ｻｶﾀ,Sakata,38.9083,139.8433,35052,山形,35,24,0,F
